date,store_nbr,transactions,season,holiday_event_weekend,,,
2013-01-01,25,770,1,1,,,
2013-01-02,1,2111,1,0,,,
2013-01-02,2,2358,1,0,,,
2013-01-02,3,3487,1,0,,,
2013-01-02,4,1922,1,0,,,
2013-01-02,5,1903,1,0,,,
2013-01-02,6,2143,1,0,,,
2013-01-02,7,1874,1,0,,,
2013-01-02,8,3250,1,0,,,
2013-01-02,9,2940,1,0,,,
2013-01-02,10,1293,1,0,,,
2013-01-02,11,3547,1,0,,,
2013-01-02,12,1362,1,0,,,
2013-01-02,13,1102,1,0,,,
2013-01-02,14,2002,1,0,,,
2013-01-02,15,1622,1,0,,,
2013-01-02,16,1167,1,0,,,
2013-01-02,17,1580,1,0,,,
2013-01-02,18,1635,1,0,,,
2013-01-02,19,1369,1,0,,,
2013-01-02,23,1381,1,0,,,
2013-01-02,24,2605,1,0,,,
2013-01-02,25,1038,1,0,,,
2013-01-02,26,1008,1,0,,,
2013-01-02,27,1386,1,0,,,
2013-01-02,28,950,1,0,,,
2013-01-02,30,708,1,0,,,
2013-01-02,31,1401,1,0,,,
2013-01-02,32,776,1,0,,,
2013-01-02,33,1163,1,0,,,
2013-01-02,34,2724,1,0,,,
2013-01-02,35,786,1,0,,,
2013-01-02,37,1691,1,0,,,
2013-01-02,38,1987,1,0,,,
2013-01-02,39,1587,1,0,,,
2013-01-02,40,1178,1,0,,,
2013-01-02,41,915,1,0,,,
2013-01-02,43,1385,1,0,,,
2013-01-02,44,4821,1,0,,,
2013-01-02,45,4208,1,0,,,
2013-01-02,46,4886,1,0,,,
2013-01-02,47,4161,1,0,,,
2013-01-02,48,3397,1,0,,,
2013-01-02,49,2346,1,0,,,
2013-01-02,50,3077,1,0,,,
2013-01-02,51,1985,1,0,,,
2013-01-02,54,998,1,0,,,
2013-01-03,1,1833,1,0,,,
2013-01-03,2,2033,1,0,,,
2013-01-03,3,3026,1,0,,,
2013-01-03,4,1551,1,0,,,
2013-01-03,5,1740,1,0,,,
2013-01-03,6,1795,1,0,,,
2013-01-03,7,1568,1,0,,,
2013-01-03,8,2904,1,0,,,
2013-01-03,9,2396,1,0,,,
2013-01-03,10,1157,1,0,,,
2013-01-03,11,2675,1,0,,,
2013-01-03,12,1248,1,0,,,
2013-01-03,13,916,1,0,,,
2013-01-03,14,1823,1,0,,,
2013-01-03,15,1512,1,0,,,
2013-01-03,16,1101,1,0,,,
2013-01-03,17,1339,1,0,,,
2013-01-03,18,1484,1,0,,,
2013-01-03,19,1098,1,0,,,
2013-01-03,23,1181,1,0,,,
2013-01-03,24,2462,1,0,,,
2013-01-03,25,887,1,0,,,
2013-01-03,26,813,1,0,,,
2013-01-03,27,928,1,0,,,
2013-01-03,28,749,1,0,,,
2013-01-03,30,689,1,0,,,
2013-01-03,31,1126,1,0,,,
2013-01-03,32,727,1,0,,,
2013-01-03,33,1168,1,0,,,
2013-01-03,34,2348,1,0,,,
2013-01-03,35,725,1,0,,,
2013-01-03,37,1526,1,0,,,
